Document,Term,Score
1,understanding,0.483
1,develop,0.276
1,social,0.264
1,approach,0.241
1,despite,0.184
2,media,0.531
2,social media,0.531
2,social,0.348
2,companies,0.236
2,concerns,0.118
3,protecting,0.321
3,data,0.249
3,security,0.224
3,evolving,0.2
3,solutions,0.192
4,energy,0.664
4,renewable energy,0.2
4,renewable,0.2
4,benefits,0.2
4,power,0.16
5,history,0.36
5,country,0.27
5,struggle,0.206
5,led,0.206
5,century,0.206
6,ai,0.677
6,healthcare,0.535
6,early,0.143
6,ethical,0.143
6,personalized,0.143
7,climate,0.434
7,change,0.399
7,climate change,0.355
7,patterns,0.178
7,communities,0.158
8,right,0.623
8,rise,0.479
8,ideologies,0.192
8,institutions,0.192
8,social,0.165
9,future,0.389
9,sustainable,0.366
9,solutions,0.279
9,efficient,0.209
9,additionally,0.183
10,american,0.476
10,political,0.452
10,recent,0.211
10,politics,0.211
10,power,0.159
